descricao_produto_preco_minimo,id_produto,uf,regionalizacao,ano_inicio_vigencia,mes_incio_vigencia,ano_termino_vigencia,mes_termino_vigencia,preco,dsc_unidade_comercializacao,nome_normativo,url,local
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2014,7,2015,6,1.11,kg                                                          ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2015,7,2016,6,1.18,kg                                                          ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2016,7,2017,6,1.29,kg                                                          ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2017,7,2017,12,1.29,kg                                                          ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2018,1,2018,12,1.6,kg                                                          ,"PORTARIA Nº 14, DE 3 DE JANEIR",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf                                 ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2019,1,2019,12,1.63,kg                                                          ,PORTARIA Nº 141 DE 8 DE JANEIR,http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf                                ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2020,1,2020,12,1.41,kg                                                          ,"PORTARIA Nº 313, DE 30 DE DEZE",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf                                ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2021,1,2021,12,1.41,kg                                                          ,PREÇOS MÍNIMOS DOS PRODUTOS DE,http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf                                 ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2022,1,2022,12,1.63,kg                                                          ,"PORTARIA MAPA Nº 376, DE 22 DE",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf                                ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2023,1,2023,12,1.81,kg                                                          ,"PORTARIA MAPA Nº 534, DE 19 DE",https://www.in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932          ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AC,AC             ,2024,1,2024,12,1.98,kg                                                          ,"PORTARIA MDA Nº 41, DE 29 DE D",https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884               ,AC
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2014,7,2015,6,1.11,kg                                                          ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2015,7,2016,6,1.18,kg                                                          ,"PORTARIA Nº 201, DE 1º DE JULH",NI                                                                                                  ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2016,7,2017,6,1.29,kg                                                          ,"PORTARIA Nº 123, DE 5 DE JULHO",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2016_PRT_123.pdf                                ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2017,7,2017,12,1.29,kg                                                          ,"PORTARIA Nº  1.577, DE 17 DE J",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2017_PRT_1577.pdf                               ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2018,1,2018,12,1.6,kg                                                          ,"PORTARIA Nº 14, DE 3 DE JANEIR",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2018_PRT_14.pdf                                 ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2019,1,2019,12,1.63,kg                                                          ,PORTARIA Nº 141 DE 8 DE JANEIR,http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_141.pdf                                ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2020,1,2020,12,1.41,kg                                                          ,"PORTARIA Nº 313, DE 30 DE DEZE",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2019_PRT_313.pdf                                ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2021,1,2021,12,1.41,kg                                                          ,PREÇOS MÍNIMOS DOS PRODUTOS DE,http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_18.pdf                                 ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2022,1,2022,12,1.63,kg                                                          ,"PORTARIA MAPA Nº 376, DE 22 DE",http://biblioteca.conab.gov.br/phl82/pdf/legislacao/2021_PRT_376.pdf                                ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2023,1,2023,12,1.81,kg                                                          ,"PORTARIA MAPA Nº 534, DE 19 DE",in.gov.br/en/web/dou/-/portaria-mapa-n-534-de-19-de-dezembro-de-2022-452020932                      ,AL
AÇAÍ (FRUTO) - PRODUTO EXTRATIVO        ,6331,AL,AL             ,2024,1,2024,12,1.98,kg                                                          ,"PORTARIA MDA Nº 41, DE 29 DE D",https://www.in.gov.br/web/dou/-/portaria-mda-n-41-de-29-de-dezembro-de-2023-535311884               ,AL
