Municipio de Destino,Custo Médio (R$/tonelada),local
FLORESTA-PE,439.57,PE
CAICÓ-RN,442.35,RN
MOSSORÓ-RN,443.34,RN
IGUATU-CE,444.06,CE
NATAL-RN,450.03,RN
MACEIÓ-AL,450.25,AL
SENADOR POMPEU-CE,450.77,CE
PATOS-PB,451.12,PB
AÇU-RN,451.97,RN
CURRAIS NOVOS-RN,452.72,RN
JOÃO PESSOA-PB,452.85,PB
ICÓ-CE,461.03,CE
MARACANAÚ-CE,468.63,CE
RUSSAS-CE,469.42,CE
PIRIPIRI-PI,469.8,PI
JOÃO CÂMARA-RN,472.24,RN
