dsc_fonte,municipio_origem,cod_ibge_origem,uf_origem,municipio_destino,cod_ibge_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada,local
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,5,510,"84,54","0,123",05/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,6,510,"83,99","0,123",06/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2021,6,361,"62,73","0,1738",06/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARAVILHA-SC                                      ,4210506,SC        ,2021,6,689,"94,0","0,1364",06/2021,SC        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,6,992,"135,0","0,1361",06/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,7,992,"139,75","0,1409",07/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,7,510,"77,67","0,1523",07/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2021,8,361,"67,83","0,1879",08/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,8,510,"80,0","0,1569",08/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,8,992,"138,0","0,1391",08/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,9,510,"80,0","0,1569",09/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2021,9,361,"80,17","0,2221",09/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,9,992,"123,0","0,124",09/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2021,10,361,"78,0","0,2161",10/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,10,992,"135,0","0,1361",10/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,10,510,"76,0","0,149",10/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2021,12,510,"91,58","0,1796",12/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2021,12,361,"84,0","0,2327",12/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2021,12,992,"155,0","0,1563",12/2021,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,1,992,"145,63","0,1468",01/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,1,510,"95,44","0,1871",01/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,1,361,"90,78","0,2515",01/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,2,992,"185,59","0,1871",02/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,2,361,"94,0","0,2604",02/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,2,510,"95,25","0,1868",02/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,3,992,"197,0","0,1986",03/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,3,361,"102,5","0,2839",03/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,3,510,"101,5","0,199",03/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,4,992,"177,83","0,1793",04/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,4,510,"98,83","0,1938",04/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,4,361,"96,0","0,2659",04/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,5,510,"115,0","0,2255",05/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,5,361,"82,17","0,2276",05/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,5,992,"168,47","0,1698",05/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,6,992,"203,67","0,2053",06/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,6,510,"105,0","0,2059",06/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,6,361,"100,0","0,277",06/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,7,992,"262,0","0,2641",07/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,7,361,"135,17","0,3744",07/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,7,510,"151,0","0,2961",07/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,8,510,"149,0","0,2922",08/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,SANTA HELENA-PR                                   ,4123501,PR        ,2022,8,361,"81,0","0,2244",08/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2022,8,992,"253,57","0,2556",08/2022,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2022,9,510,"110,0","0,2157",09/2022,PR        
