municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Janeiro,787,"258,33","0,3282"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Janeiro,365,"158,75","0,4349"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Janeiro,771,"260,0","0,3372"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Janeiro,78,"82,5","1,0577"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Janeiro,1109,"262,5","0,2367"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Janeiro,212,"97,5","0,4599"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Fevereiro,1109,"295,6","0,2665"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Fevereiro,78,"102,0","1,3077"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Fevereiro,365,"154,66","0,4237"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Fevereiro,771,"287,4","0,3728"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Fevereiro,787,"287,4","0,3652"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Fevereiro,212,"121,0","0,5708"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Março,1109,"304,0","0,2741"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Março,771,"295,0","0,3826"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Março,365,"156,67","0,4292"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Março,212,"105,0","0,4953"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Março,787,"295,0","0,3748"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Março,78,"86,2","1,1051"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Abril,787,"280,0","0,3558"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Abril,771,"280,0","0,3632"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Abril,365,"123,0","0,337"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Abril,78,"61,0","0,7821"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Abril,212,"82,2","0,3877"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Abril,1109,"293,0","0,2642"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Maio,305,"295,0","0,9672"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Maio,305,"295,0","0,9672"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Maio,94,"105,0","1,12"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Maio,123,"156,67","1,2703"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Maio,69,"86,2","1,2448"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Maio,325,"304,0","0,9354"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Junho,69,"64,25","0,9278"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Junho,123,"141,25","1,1453"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Junho,94,"93,75","1,0"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Junho,305,"285,0","0,9344"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Junho,305,"285,0","0,9344"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Julho,787,"320,0","0,4066"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Julho,771,"320,0","0,415"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Julho,212,"103,75","0,4894"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Julho,1109,"340,0","0,3066"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Julho,78,"75,0","0,9615"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Julho,365,"130,0","0,3562"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Agosto,1109,"320,0","0,2885"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Agosto,787,"293,75","0,3733"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Agosto,771,"293,75","0,381"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Agosto,78,"83,75","1,0737"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Agosto,365,"132,5","0,363"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Agosto,212,"110,0","0,5189"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2023,Agosto,1436,"380,0","0,2646"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Setembro,771,"303,33","0,3934"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Setembro,365,"140,0","0,3836"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Setembro,78,"88,33","1,1324"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Setembro,212,"115,0","0,5425"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Setembro,1109,"320,0","0,2885"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2023,Setembro,1436,"390,0","0,2716"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Setembro,787,"303,33","0,3854"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Outubro,771,"263,33","0,3415"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Outubro,78,"86,67","1,1112"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Outubro,365,"123,33","0,3379"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Outubro,212,"115,33","0,544"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Outubro,787,"263,33","0,3346"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Outubro,1109,"323,33","0,2916"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2023,Outubro,1436,"390,0","0,2716"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Novembro,365,"120,0","0,3288"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Novembro,787,"268,75","0,3415"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Novembro,1109,"305,0","0,275"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2023,Novembro,1436,"353,33","0,2461"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Novembro,771,"268,75","0,3486"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Novembro,212,"92,0","0,434"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Novembro,78,"60,0","0,7692"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2023,Dezembro,1109,"291,67","0,263"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2023,Dezembro,787,"264,17","0,3357"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2023,Dezembro,212,"91,0","0,4292"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2023,Dezembro,365,"120,0","0,3288"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2023,Dezembro,78,"71,0","0,9103"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2023,Dezembro,1436,"336,25","0,2342"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2023,Dezembro,771,"261,67","0,3394"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Janeiro,787,"220,0","0,2795"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Janeiro,365,"117,0","0,3196"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Janeiro,212,"66,0","0,3125"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Janeiro,78,"49,0","0,625"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Janeiro,1109,"245,0","0,2209"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Janeiro,1436,"300,0","0,2089"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Janeiro,771,"220,0","0,2853"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Fevereiro,212,"76,0","0,3597"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Fevereiro,1436,"263,0","0,1834"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Fevereiro,1109,"240,0","0,2164"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Fevereiro,771,"224,0","0,2902"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Fevereiro,787,"224,0","0,2843"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Fevereiro,78,"50,0","0,641"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Fevereiro,365,"105,0","0,2877"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Março,1436,"260,0","0,1811"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Março,78,"50,0","0,641"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Março,212,"75,0","0,3538"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Março,787,"224,0","0,2843"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Março,1109,"238,0","0,2142"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Março,771,"224,0","0,2902"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Março,365,"105,0","0,2877"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Abril,787,"223,0","0,2827"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Abril,771,"223,0","0,2886"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Abril,1436,"252,0","0,1753"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Abril,1109,"235,0","0,2119"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Abril,212,"71,0","0,3361"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Abril,78,"48,0","0,609"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Abril,365,"100,0","0,274"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Maio,78,"50,0","0,641"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Maio,365,"110,0","0,3014"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Maio,1436,"297,0","0,2066"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Maio,787,"269,0","0,3415"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Maio,212,"78,0","0,3691"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Maio,771,"269,0","0,3486"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Maio,1109,"270,0","0,2435"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Junho,771,"265,0","0,3437"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Junho,1109,"293,0","0,2638"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Junho,787,"265,0","0,3367"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Junho,212,"83,0","0,3915"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Junho,78,"58,0","0,7372"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Junho,365,"133,0","0,363"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Junho,1436,"333,0","0,2321"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Julho,1436,"337,0","0,2344"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Julho,787,"275,0","0,3494"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Julho,212,"96,0","0,4505"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Julho,78,"65,0","0,8333"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Julho,365,"150,0","0,411"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Julho,1109,"303,0","0,2728"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Julho,771,"275,0","0,3567"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Agosto,787,"250,0","0,3177"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Agosto,1436,"310,0","0,2156"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Agosto,1109,"274,0","0,2466"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Agosto,212,"80,0","0,3785"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Agosto,78,"55,0","0,7019"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Agosto,365,"145,0","0,3973"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Agosto,771,"250,0","0,3243"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Setembro,1109,"237,0","0,2134"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Setembro,787,"230,0","0,2922"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Setembro,78,"62,0","0,7906"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Setembro,365,"125,0","0,3425"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Setembro,212,"76,0","0,3569"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Setembro,1436,"273,0","0,1903"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Setembro,771,"230,0","0,2983"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Outubro,212,"68,0","0,3223"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Outubro,771,"217,0","0,281"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Outubro,1109,"233,0","0,2104"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Outubro,1436,"252,0","0,1753"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Outubro,365,"113,0","0,3105"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Outubro,78,"48,0","0,6197"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Outubro,787,"217,0","0,2753"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Novembro,365,"93,0","0,2539"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Novembro,212,"61,0","0,2862"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Novembro,787,"183,0","0,233"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Novembro,1436,"202,0","0,1404"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Novembro,78,"47,0","0,5983"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Novembro,1109,"190,0","0,1713"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Novembro,771,"183,0","0,2378"
CATALÃO-GO                                        ,GO        ,IMBITUBA-SC                                       ,SC        ,2024,Dezembro,1436,"225,0","0,1567"
CATALÃO-GO                                        ,GO        ,SÃO SIMÃO-GO                                      ,GO        ,2024,Dezembro,365,"123,0","0,3379"
CATALÃO-GO                                        ,GO        ,ARAGUARI-MG                                       ,MG        ,2024,Dezembro,78,"54,0","0,6923"
CATALÃO-GO                                        ,GO        ,UBERABA-MG                                        ,MG        ,2024,Dezembro,212,"73,0","0,3428"
CATALÃO-GO                                        ,GO        ,SANTOS-SP                                         ,SP        ,2024,Dezembro,771,"177,0","0,2291"
CATALÃO-GO                                        ,GO        ,PARANAGUÁ-PR                                      ,PR        ,2024,Dezembro,1109,"193,0","0,1743"
CATALÃO-GO                                        ,GO        ,GUARUJÁ-SP                                        ,SP        ,2024,Dezembro,787,"177,0","0,2245"
CHAPADÃO DO CÉU-GO                                ,GO        ,PALMEIRAS DE GOIÁS-GO                             ,GO        ,2015,Março,561,"74,13","0,1321"
CHAPADÃO DO CÉU-GO                                ,GO        ,ITAPURANGA-GO                                     ,GO        ,2015,Março,758,"88,92","0,1173"
CHAPADÃO DO CÉU-GO                                ,GO        ,SANTA HELENA DE GOIÁS-GO                          ,GO        ,2015,Junho,396,"65,36","0,1651"
CHAPADÃO DO SUL-MS                                ,MS        ,GUANAMBI-BA                                       ,BA        ,2014,Janeiro,1677,"192,88","0,115"
CHAPADÃO DO SUL-MS                                ,MS        ,BAIXA GRANDE-BA                                   ,BA        ,2014,Janeiro,2133,"250,0","0,1172"
CHAPADÃO DO SUL-MS                                ,MS        ,VITÓRIA DA CONQUISTA-BA                           ,BA        ,2014,Julho,1716,"223,0","0,13"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Maio,1191,"187,5","0,1574"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Maio,996,"170,0","0,1707"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Junho,996,"180,0","0,1807"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Junho,1191,"170,0","0,1427"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Julho,996,"190,0","0,1908"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Julho,1191,"156,67","0,1315"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Agosto,996,"156,0","0,1566"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Agosto,1191,"150,0","0,1259"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Setembro,1191,"153,33","0,1287"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Setembro,996,"152,0","0,1526"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Outubro,996,"155,0","0,1556"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Outubro,1191,"151,7","0,1274"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2021,Dezembro,996,"185,0","0,1857"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2021,Dezembro,1191,"165,0","0,1385"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Janeiro,1191,"189,67","0,1592"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Janeiro,996,"189,5","0,1903"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Fevereiro,996,"208,22","0,2091"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Fevereiro,1191,"209,17","0,1756"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Março,1191,"221,0","0,1856"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Março,996,"266,13","0,2672"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Abril,1191,"170,0","0,1427"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Abril,996,"240,0","0,241"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Maio,996,"245,33","0,2463"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Maio,1191,"240,0","0,2015"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Junho,996,"276,0","0,2771"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Junho,1191,"280,0","0,2351"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Julho,1191,"300,0","0,2519"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Julho,996,"290,0","0,2912"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Agosto,1191,"300,0","0,2519"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Agosto,996,"350,0","0,3514"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Setembro,996,"295,0","0,2962"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Setembro,1191,"284,0","0,2385"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Outubro,1191,"235,0","0,1973"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Outubro,996,"225,0","0,2259"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Novembro,1191,"230,0","0,1931"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Novembro,996,"266,0","0,2671"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Dezembro,1191,"230,0","0,1931"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2022,Dezembro,996,"260,0","0,261"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Janeiro,996,"275,0","0,2761"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Janeiro,1191,"280,0","0,2351"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Fevereiro,1191,"300,0","0,2519"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Fevereiro,996,"307,5","0,3087"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Março,1191,"300,0","0,2519"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Março,996,"307,5","0,3087"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Abril,996,"260,0","0,261"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Abril,1191,"240,0","0,2015"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Maio,996,"265,0","0,2661"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Maio,1191,"250,0","0,2099"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Junho,1191,"248,0","0,2078"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Junho,996,"263,0","0,2636"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Julho,1191,"249,0","0,2089"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Julho,996,"264,0","0,2648"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Agosto,996,"308,0","0,3092"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Agosto,1191,"310,0","0,2603"
CHAPADÃO DO SUL-MS                                ,MS        ,GUARUJÁ-SP                                        ,SP        ,2023,Setembro,996,"318,0","0,3189"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Setembro,1191,"284,0","0,2382"
CHAPADÃO DO SUL-MS                                ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Outubro,1191,"276,0","0,2313"
