municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Fevereiro,510,"95,25","0,1868"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Março,992,"197,0","0,1986"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Março,361,"102,5","0,2839"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Março,510,"101,5","0,199"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Abril,992,"177,83","0,1793"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Abril,510,"98,83","0,1938"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Abril,361,"96,0","0,2659"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Maio,510,"115,0","0,2255"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Maio,361,"82,17","0,2276"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Maio,992,"168,47","0,1698"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Junho,992,"203,67","0,2053"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Junho,510,"105,0","0,2059"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Junho,361,"100,0","0,277"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Julho,992,"262,0","0,2641"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Julho,361,"135,17","0,3744"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Julho,510,"151,0","0,2961"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Agosto,510,"149,0","0,2922"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Agosto,361,"81,0","0,2244"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Agosto,992,"253,57","0,2556"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Setembro,510,"110,0","0,2157"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Setembro,992,"218,0","0,2198"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Setembro,361,"84,56","0,2342"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Outubro,992,"166,5","0,1678"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Outubro,361,"99,0","0,2742"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Outubro,510,"106,67","0,2092"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Novembro,992,"188,67","0,1902"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Novembro,510,"118,0","0,2314"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Novembro,361,"118,0","0,3269"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2022,Dezembro,361,"115,0","0,3186"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2022,Dezembro,510,"118,0","0,2314"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2022,Dezembro,992,"189,5","0,191"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Janeiro,992,"238,33","0,2403"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Janeiro,510,"122,67","0,2405"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Janeiro,361,"115,0","0,3186"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Fevereiro,361,"115,0","0,3186"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Fevereiro,510,"137,5","0,2696"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Fevereiro,992,"282,0","0,2843"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Março,510,"133,33","0,2614"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Março,361,"125,0","0,3463"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Março,992,"285,0","0,2873"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Abril,992,"190,0","0,1915"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Abril,510,"122,67","0,2405"
ARAL MOREIRA-MS                                   ,MS        ,SANTA HELENA-PR                                   ,PR        ,2023,Abril,361,"120,0","0,3324"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Maio,510,"122,67","0,2405"
ARAL MOREIRA-MS                                   ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2023,Maio,992,"260,0","0,2621"
ARAL MOREIRA-MS                                   ,MS        ,MARINGÁ-PR                                        ,PR        ,2023,Junho,510,"120,0","0,2353"
