municipio_origem,municipio_destino,ano,mes,uf_origem,uf_destino,soma_frete_tonelada,soma_tonelada_km,repeticoes,media_frete_tonelada,media_tonelada_km,distancia_km,data_padronizada
ARAL MOREIRA,MARINGÁ,2023,Julho,MS        ,PR        ,"121,0","0,2379",1,"121,0","0,2379","510,0",07/2023
ARAL MOREIRA,MARINGÁ,2023,Junho,MS        ,PR        ,"120,0","0,2353",1,"120,0","0,2353","510,0",06/2023
ARAL MOREIRA,MARINGÁ,2023,Maio,MS        ,PR        ,"122,67","0,2405",1,"122,67","0,2405","510,0",05/2023
ARAL MOREIRA,MARINGÁ,2023,Março,MS        ,PR        ,"133,33","0,2614",1,"133,33","0,2614","510,0",03/2023
ARAL MOREIRA,MARINGÁ,2023,Novembro,MS        ,PR        ,"122,0","0,24",1,"122,0","0,24","510,0",11/2023
ARAL MOREIRA,MARINGÁ,2023,Outubro,MS        ,PR        ,"123,0","0,242",1,"123,0","0,242","510,0",10/2023
ARAL MOREIRA,MARINGÁ,2023,Setembro,MS        ,PR        ,"129,0","0,2523",1,"129,0","0,2523","510,0",09/2023
ARAL MOREIRA,MARINGÁ,2024,Abril,MS        ,PR        ,"94,0","0,1833",1,"94,0","0,1833","510,0",04/2024
ARAL MOREIRA,MARINGÁ,2024,Agosto,MS        ,PR        ,"102,0","0,2",1,"102,0","0,2","510,0",08/2024
ARAL MOREIRA,MARINGÁ,2024,Dezembro,MS        ,PR        ,"87,0","0,1706",1,"87,0","0,1706","510,0",12/2024
ARAL MOREIRA,MARINGÁ,2024,Fevereiro,MS        ,PR        ,"116,0","0,2275",1,"116,0","0,2275","510,0",02/2024
ARAL MOREIRA,MARINGÁ,2024,Janeiro,MS        ,PR        ,"133,0","0,2608",1,"133,0","0,2608","510,0",01/2024
ARAL MOREIRA,MARINGÁ,2024,Julho,MS        ,PR        ,"105,0","0,2049",1,"105,0","0,2049","510,0",07/2024
ARAL MOREIRA,MARINGÁ,2024,Junho,MS        ,PR        ,"103,0","0,2026",1,"103,0","0,2026","510,0",06/2024
ARAL MOREIRA,MARINGÁ,2024,Maio,MS        ,PR        ,"103,0","0,202",1,"103,0","0,202","510,0",05/2024
ARAL MOREIRA,MARINGÁ,2024,Março,MS        ,PR        ,"99,0","0,1941",1,"99,0","0,1941","510,0",03/2024
ARAL MOREIRA,MARINGÁ,2024,Novembro,MS        ,PR        ,"87,0","0,1706",1,"87,0","0,1706","510,0",11/2024
ARAL MOREIRA,MARINGÁ,2024,Outubro,MS        ,PR        ,"90,0","0,1765",1,"90,0","0,1765","510,0",10/2024
ARAL MOREIRA,MARINGÁ,2024,Setembro,MS        ,PR        ,"95,0","0,1863",1,"95,0","0,1863","510,0",09/2024
ARAL MOREIRA,PARANAGUÁ,2021,Agosto,MS        ,PR        ,"138,0","0,1391",1,"138,0","0,1391","992,0",08/2021
ARAL MOREIRA,PARANAGUÁ,2021,Dezembro,MS        ,PR        ,"155,0","0,1563",1,"155,0","0,1563","992,0",12/2021
ARAL MOREIRA,PARANAGUÁ,2021,Julho,MS        ,PR        ,"139,75","0,1409",1,"139,75","0,1409","992,0",07/2021
ARAL MOREIRA,PARANAGUÁ,2021,Junho,MS        ,PR        ,"135,0","0,1361",1,"135,0","0,1361","992,0",06/2021
ARAL MOREIRA,PARANAGUÁ,2021,Maio,MS        ,PR        ,"144,96","0,1461",1,"144,96","0,1461","992,0",05/2021
ARAL MOREIRA,PARANAGUÁ,2021,Outubro,MS        ,PR        ,"135,0","0,1361",1,"135,0","0,1361","992,0",10/2021
ARAL MOREIRA,PARANAGUÁ,2021,Setembro,MS        ,PR        ,"123,0","0,124",1,"123,0","0,124","992,0",09/2021
ARAL MOREIRA,PARANAGUÁ,2022,Abril,MS        ,PR        ,"177,83","0,1793",1,"177,83","0,1793","992,0",04/2022
ARAL MOREIRA,PARANAGUÁ,2022,Agosto,MS        ,PR        ,"253,57","0,2556",1,"253,57","0,2556","992,0",08/2022
ARAL MOREIRA,PARANAGUÁ,2022,Dezembro,MS        ,PR        ,"189,5","0,191",1,"189,5","0,191","992,0",12/2022
ARAL MOREIRA,PARANAGUÁ,2022,Fevereiro,MS        ,PR        ,"185,59","0,1871",1,"185,59","0,1871","992,0",02/2022
ARAL MOREIRA,PARANAGUÁ,2022,Janeiro,MS        ,PR        ,"145,63","0,1468",1,"145,63","0,1468","992,0",01/2022
ARAL MOREIRA,PARANAGUÁ,2022,Julho,MS        ,PR        ,"262,0","0,2641",1,"262,0","0,2641","992,0",07/2022
ARAL MOREIRA,PARANAGUÁ,2022,Junho,MS        ,PR        ,"203,67","0,2053",1,"203,67","0,2053","992,0",06/2022
ARAL MOREIRA,PARANAGUÁ,2022,Maio,MS        ,PR        ,"168,47","0,1698",1,"168,47","0,1698","992,0",05/2022
ARAL MOREIRA,PARANAGUÁ,2022,Março,MS        ,PR        ,"197,0","0,1986",1,"197,0","0,1986","992,0",03/2022
ARAL MOREIRA,PARANAGUÁ,2022,Novembro,MS        ,PR        ,"188,67","0,1902",1,"188,67","0,1902","992,0",11/2022
ARAL MOREIRA,PARANAGUÁ,2022,Outubro,MS        ,PR        ,"166,5","0,1678",1,"166,5","0,1678","992,0",10/2022
ARAL MOREIRA,PARANAGUÁ,2022,Setembro,MS        ,PR        ,"218,0","0,2198",1,"218,0","0,2198","992,0",09/2022
ARAL MOREIRA,PARANAGUÁ,2023,Abril,MS        ,PR        ,"190,0","0,1915",1,"190,0","0,1915","992,0",04/2023
ARAL MOREIRA,PARANAGUÁ,2023,Agosto,MS        ,PR        ,"271,0","0,2734",1,"271,0","0,2734","992,0",08/2023
ARAL MOREIRA,PARANAGUÁ,2023,Dezembro,MS        ,PR        ,"234,0","0,2359",1,"234,0","0,2359","992,0",12/2023
ARAL MOREIRA,PARANAGUÁ,2023,Fevereiro,MS        ,PR        ,"282,0","0,2843",1,"282,0","0,2843","992,0",02/2023
ARAL MOREIRA,PARANAGUÁ,2023,Janeiro,MS        ,PR        ,"238,33","0,2403",1,"238,33","0,2403","992,0",01/2023
ARAL MOREIRA,PARANAGUÁ,2023,Julho,MS        ,PR        ,"237,0","0,2388",1,"237,0","0,2388","992,0",07/2023
ARAL MOREIRA,PARANAGUÁ,2023,Junho,MS        ,PR        ,"214,0","0,2155",1,"214,0","0,2155","992,0",06/2023
ARAL MOREIRA,PARANAGUÁ,2023,Maio,MS        ,PR        ,"260,0","0,2621",1,"260,0","0,2621","992,0",05/2023
ARAL MOREIRA,PARANAGUÁ,2023,Março,MS        ,PR        ,"285,0","0,2873",1,"285,0","0,2873","992,0",03/2023
ARAL MOREIRA,PARANAGUÁ,2023,Novembro,MS        ,PR        ,"234,0","0,2359",1,"234,0","0,2359","992,0",11/2023
ARAL MOREIRA,PARANAGUÁ,2023,Outubro,MS        ,PR        ,"234,0","0,2359",1,"234,0","0,2359","992,0",10/2023
ARAL MOREIRA,PARANAGUÁ,2023,Setembro,MS        ,PR        ,"269,0","0,2709",1,"269,0","0,2709","992,0",09/2023
ARAL MOREIRA,PARANAGUÁ,2024,Abril,MS        ,PR        ,"160,0","0,1613",1,"160,0","0,1613","992,0",04/2024
ARAL MOREIRA,PARANAGUÁ,2024,Agosto,MS        ,PR        ,"201,0","0,2024",1,"201,0","0,2024","992,0",08/2024
ARAL MOREIRA,PARANAGUÁ,2024,Dezembro,MS        ,PR        ,"168,0","0,1694",1,"168,0","0,1694","992,0",12/2024
ARAL MOREIRA,PARANAGUÁ,2024,Fevereiro,MS        ,PR        ,"225,0","0,2268",1,"225,0","0,2268","992,0",02/2024
ARAL MOREIRA,PARANAGUÁ,2024,Janeiro,MS        ,PR        ,"195,0","0,1966",1,"195,0","0,1966","992,0",01/2024
ARAL MOREIRA,PARANAGUÁ,2024,Julho,MS        ,PR        ,"226,0","0,2278",1,"226,0","0,2278","992,0",07/2024
ARAL MOREIRA,PARANAGUÁ,2024,Junho,MS        ,PR        ,"215,0","0,2167",1,"215,0","0,2167","992,0",06/2024
ARAL MOREIRA,PARANAGUÁ,2024,Maio,MS        ,PR        ,"170,0","0,1714",1,"170,0","0,1714","992,0",05/2024
ARAL MOREIRA,PARANAGUÁ,2024,Março,MS        ,PR        ,"154,0","0,1552",1,"154,0","0,1552","992,0",03/2024
ARAL MOREIRA,PARANAGUÁ,2024,Novembro,MS        ,PR        ,"180,0","0,1815",1,"180,0","0,1815","992,0",11/2024
ARAL MOREIRA,PARANAGUÁ,2024,Outubro,MS        ,PR        ,"180,0","0,1815",1,"180,0","0,1815","992,0",10/2024
ARAL MOREIRA,PARANAGUÁ,2024,Setembro,MS        ,PR        ,"200,0","0,2016",1,"200,0","0,2016","992,0",09/2024
ARAL MOREIRA,SANTA HELENA,2021,Agosto,MS        ,PR        ,"67,83","0,1879",1,"67,83","0,1879","361,0",08/2021
ARAL MOREIRA,SANTA HELENA,2021,Dezembro,MS        ,PR        ,"84,0","0,2327",1,"84,0","0,2327","361,0",12/2021
ARAL MOREIRA,SANTA HELENA,2021,Junho,MS        ,PR        ,"62,73","0,1738",1,"62,73","0,1738","361,0",06/2021
ARAL MOREIRA,SANTA HELENA,2021,Maio,MS        ,PR        ,"62,73","0,1738",1,"62,73","0,1738","361,0",05/2021
ARAL MOREIRA,SANTA HELENA,2021,Outubro,MS        ,PR        ,"78,0","0,2161",1,"78,0","0,2161","361,0",10/2021
ARAL MOREIRA,SANTA HELENA,2021,Setembro,MS        ,PR        ,"80,17","0,2221",1,"80,17","0,2221","361,0",09/2021
ARAL MOREIRA,SANTA HELENA,2022,Abril,MS        ,PR        ,"96,0","0,2659",1,"96,0","0,2659","361,0",04/2022
ARAL MOREIRA,SANTA HELENA,2022,Agosto,MS        ,PR        ,"81,0","0,2244",1,"81,0","0,2244","361,0",08/2022
ARAL MOREIRA,SANTA HELENA,2022,Dezembro,MS        ,PR        ,"115,0","0,3186",1,"115,0","0,3186","361,0",12/2022
ARAL MOREIRA,SANTA HELENA,2022,Fevereiro,MS        ,PR        ,"94,0","0,2604",1,"94,0","0,2604","361,0",02/2022
ARAL MOREIRA,SANTA HELENA,2022,Janeiro,MS        ,PR        ,"90,78","0,2515",1,"90,78","0,2515","361,0",01/2022
ARAL MOREIRA,SANTA HELENA,2022,Julho,MS        ,PR        ,"135,17","0,3744",1,"135,17","0,3744","361,0",07/2022
ARAL MOREIRA,SANTA HELENA,2022,Junho,MS        ,PR        ,"100,0","0,277",1,"100,0","0,277","361,0",06/2022
ARAL MOREIRA,SANTA HELENA,2022,Maio,MS        ,PR        ,"82,17","0,2276",1,"82,17","0,2276","361,0",05/2022
ARAL MOREIRA,SANTA HELENA,2022,Março,MS        ,PR        ,"102,5","0,2839",1,"102,5","0,2839","361,0",03/2022
ARAL MOREIRA,SANTA HELENA,2022,Novembro,MS        ,PR        ,"118,0","0,3269",1,"118,0","0,3269","361,0",11/2022
ARAL MOREIRA,SANTA HELENA,2022,Outubro,MS        ,PR        ,"99,0","0,2742",1,"99,0","0,2742","361,0",10/2022
ARAL MOREIRA,SANTA HELENA,2022,Setembro,MS        ,PR        ,"84,56","0,2342",1,"84,56","0,2342","361,0",09/2022
ARAL MOREIRA,SANTA HELENA,2023,Abril,MS        ,PR        ,"120,0","0,3324",1,"120,0","0,3324","361,0",04/2023
ARAL MOREIRA,SANTA HELENA,2023,Fevereiro,MS        ,PR        ,"115,0","0,3186",1,"115,0","0,3186","361,0",02/2023
ARAL MOREIRA,SANTA HELENA,2023,Janeiro,MS        ,PR        ,"115,0","0,3186",1,"115,0","0,3186","361,0",01/2023
ARAL MOREIRA,SANTA HELENA,2023,Março,MS        ,PR        ,"125,0","0,3463",1,"125,0","0,3463","361,0",03/2023
ARAÇATUBA,BRASÍLIA,2017,Outubro,SP        ,DF        ,"176,22","0,1969",1,"176,22","0,1969","895,0",10/2017
ARAÇATUBA,CAMPOS NOVOS,2016,Fevereiro,SP        ,SC        ,"147,98","0,1475",1,"147,98","0,1475","1003,0",02/2016
ARAÇATUBA,HERVAL D'OESTE,2016,Fevereiro,SP        ,SC        ,"137,74","0,1448",1,"137,74","0,1448","951,0",02/2016
AÇAILÂNDIA,PORTO FRANCO,2023,Julho,MA        ,MA        ,"65,0","0,3892",1,"65,0","0,3892","167,0",07/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Abril,MA        ,MA        ,"170,0","0,2848",1,"170,0","0,2848","597,0",04/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Agosto,MA        ,MA        ,"164,5","0,2912",1,"164,5","0,2912","565,0",08/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Fevereiro,MA        ,MA        ,"160,0","0,268",1,"160,0","0,268","597,0",02/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Julho,MA        ,MA        ,"166,8","0,2952",1,"166,8","0,2952","565,0",07/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Junho,MA        ,MA        ,"150,59","0,2522",1,"150,59","0,2522","597,0",06/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Maio,MA        ,MA        ,"160,0","0,268",1,"160,0","0,268","597,0",05/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Março,MA        ,MA        ,"170,0","0,2848",1,"170,0","0,2848","597,0",03/2023
AÇAILÂNDIA,SÃO LUÍS,2023,Setembro,MA        ,MA        ,"160,0","0,2832",1,"160,0","0,2832","565,0",09/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Agosto,PI        ,MA        ,"304,0","0,3753",1,"304,0","0,3753","810,0",08/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Dezembro,PI        ,MA        ,"237,0","0,2926",1,"237,0","0,2926","810,0",12/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Julho,PI        ,MA        ,"288,25","0,3559",1,"288,25","0,3559","810,0",07/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Novembro,PI        ,MA        ,"288,0","0,3556",1,"288,0","0,3556","810,0",11/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Outubro,PI        ,MA        ,"295,62","0,365",1,"295,62","0,365","810,0",10/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2022,Setembro,PI        ,MA        ,"267,0","0,3296",1,"267,0","0,3296","810,0",09/2022
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Abril,PI        ,MA        ,"242,0","0,2988",1,"242,0","0,2988","810,0",04/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Agosto,PI        ,MA        ,"268,0","0,3309",1,"268,0","0,3309","810,0",08/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Fevereiro,PI        ,MA        ,"265,0","0,3272",1,"265,0","0,3272","810,0",02/2023
BAIXA GRANDE DO RIBEIRO,SÃO LUÍS,2023,Janeiro,PI        ,MA        ,"253,0","0,3123",1,"253,0","0,3123","810,0",01/2023
