municipio_origem,municipio_destino,ano,mes,uf_origem,uf_destino,soma_frete_tonelada,soma_tonelada_km,repeticoes,media_frete_tonelada,media_tonelada_km,distancia_km,data_padronizada
CAMPO VERDE,SÃO LUÍS DE MONTES BELOS,2017,Outubro,MT        ,GO        ,"115,41","0,2039",1,"115,41","0,2039","566,0",10/2017
CAMPO VERDE,SÃO LUÍS,2017,Maio,MT        ,MA        ,"406,25","0,1329",1,"406,25","0,1329","3056,0",05/2017
CAMPO VERDE,SÃO LUÍS,2017,Outubro,MT        ,MA        ,"411,07","0,3904",1,"411,07","0,3904","1053,0",10/2017
CAMPO VERDE,SÃO RAIMUNDO NONATO,2014,Novembro,MT        ,PI        ,"303,66","0,1147",1,"303,66","0,1147","2648,0",11/2014
CAMPO VERDE,TAUÁ,2014,Novembro,MT        ,CE        ,"322,95","0,1042",1,"322,95","0,1042","3099,0",11/2014
CAMPO VERDE,TAUÁ,2018,Janeiro,MT        ,CE        ,"386,02","0,1246",1,"386,02","0,1246","3099,0",01/2018
CAMPO VERDE,TERESINA,2017,Outubro,MT        ,PI        ,"401,78","0,1501",1,"401,78","0,1501","2677,0",10/2017
CAMPO VERDE,VITÓRIA DA CONQUISTA,2014,Novembro,MT        ,BA        ,"287,68","0,1365",1,"287,68","0,1365","2108,0",11/2014
CAMPOS LINDOS,ARAGUAÍNA,2022,Dezembro,TO        ,TO        ,"90,0","0,3689",1,"90,0","0,3689","244,0",12/2022
CAMPOS LINDOS,ARAGUAÍNA,2023,Agosto,TO        ,TO        ,"115,0","0,4713",1,"115,0","0,4713","244,0",08/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Dezembro,TO        ,TO        ,"100,0","0,4098",1,"100,0","0,4098","244,0",12/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Fevereiro,TO        ,TO        ,"120,0","0,4918",1,"120,0","0,4918","244,0",02/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Janeiro,TO        ,TO        ,"95,0","0,3893",1,"95,0","0,3893","244,0",01/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Julho,TO        ,TO        ,"110,0","0,4508",1,"110,0","0,4508","244,0",07/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Março,TO        ,TO        ,"110,0","0,4508",1,"110,0","0,4508","244,0",03/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Novembro,TO        ,TO        ,"100,0","0,4098",1,"100,0","0,4098","244,0",11/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Outubro,TO        ,TO        ,"100,0","0,4098",1,"100,0","0,4098","244,0",10/2023
CAMPOS LINDOS,ARAGUAÍNA,2023,Setembro,TO        ,TO        ,"125,0","0,5123",1,"125,0","0,5123","244,0",09/2023
CAMPOS LINDOS,ARAGUAÍNA,2024,Abril,TO        ,TO        ,"90,0","0,3689",1,"90,0","0,3689","244,0",04/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Agosto,TO        ,TO        ,"130,0","0,5328",1,"130,0","0,5328","244,0",08/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Dezembro,TO        ,TO        ,"120,0","0,4918",1,"120,0","0,4918","244,0",12/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Fevereiro,TO        ,TO        ,"115,0","0,4713",1,"115,0","0,4713","244,0",02/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Janeiro,TO        ,TO        ,"90,0","0,3689",1,"90,0","0,3689","244,0",01/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Junho,TO        ,TO        ,"130,0","0,5328",1,"130,0","0,5328","244,0",06/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Maio,TO        ,TO        ,"90,0","0,3689",1,"90,0","0,3689","244,0",05/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Março,TO        ,TO        ,"100,0","0,4098",1,"100,0","0,4098","244,0",03/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Outubro,TO        ,TO        ,"120,0","0,4918",1,"120,0","0,4918","244,0",10/2024
CAMPOS LINDOS,ARAGUAÍNA,2024,Setembro,TO        ,TO        ,"120,0","0,4918",1,"120,0","0,4918","244,0",09/2024
CAMPOS LINDOS,PORTO FRANCO,2022,Dezembro,TO        ,MA        ,"95,0","0,3467",1,"95,0","0,3467","274,0",12/2022
CAMPOS LINDOS,PORTO FRANCO,2023,Agosto,TO        ,MA        ,"180,0","0,6569",1,"180,0","0,6569","274,0",08/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Dezembro,TO        ,MA        ,"105,0","0,3832",1,"105,0","0,3832","274,0",12/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Fevereiro,TO        ,MA        ,"130,0","0,4745",1,"130,0","0,4745","274,0",02/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Janeiro,TO        ,MA        ,"120,0","0,438",1,"120,0","0,438","274,0",01/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Julho,TO        ,MA        ,"150,0","0,5474",1,"150,0","0,5474","274,0",07/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Março,TO        ,MA        ,"120,0","0,438",1,"120,0","0,438","274,0",03/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Novembro,TO        ,MA        ,"105,0","0,3832",1,"105,0","0,3832","274,0",11/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Outubro,TO        ,MA        ,"105,0","0,3832",1,"105,0","0,3832","274,0",10/2023
CAMPOS LINDOS,PORTO FRANCO,2023,Setembro,TO        ,MA        ,"145,0","0,5292",1,"145,0","0,5292","274,0",09/2023
CAMPOS LINDOS,PORTO FRANCO,2024,Abril,TO        ,MA        ,"90,0","0,3285",1,"90,0","0,3285","274,0",04/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Agosto,TO        ,MA        ,"130,0","0,4745",1,"130,0","0,4745","274,0",08/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Dezembro,TO        ,MA        ,"120,0","0,438",1,"120,0","0,438","274,0",12/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Fevereiro,TO        ,MA        ,"115,0","0,4197",1,"115,0","0,4197","274,0",02/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Janeiro,TO        ,MA        ,"90,0","0,3285",1,"90,0","0,3285","274,0",01/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Junho,TO        ,MA        ,"130,0","0,4745",1,"130,0","0,4745","274,0",06/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Maio,TO        ,MA        ,"90,0","0,3285",1,"90,0","0,3285","274,0",05/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Março,TO        ,MA        ,"100,0","0,365",1,"100,0","0,365","274,0",03/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Outubro,TO        ,MA        ,"120,0","0,438",1,"120,0","0,438","274,0",10/2024
CAMPOS LINDOS,PORTO FRANCO,2024,Setembro,TO        ,MA        ,"120,0","0,438",1,"120,0","0,438","274,0",09/2024
CAMPOS NOVOS,CRUZEIRO DO SUL,2018,Maio,SC        ,RS        ,"83,97","0,2164",1,"83,97","0,2164","388,0",05/2018
CARMO DO RIO CLARO,CONTAGEM,2024,Novembro,MG        ,MG        ,"139,0","0,3861",1,"139,0","0,3861","360,0",11/2024
CARMO DO RIO CLARO,CONTAGEM,2024,Outubro,MG        ,MG        ,"139,0","0,3861",1,"139,0","0,3861","360,0",10/2024
CARMO DO RIO CLARO,CONTAGEM,2024,Setembro,MG        ,MG        ,"139,0","0,3861",1,"139,0","0,3861","360,0",09/2024
CAROLINA,SÃO LUÍS,2023,Julho,MA        ,MA        ,"213,0","0,2497",1,"213,0","0,2497","853,0",07/2023
CAROLINA,SÃO LUÍS,2023,Outubro,MA        ,MA        ,"250,0","0,2931",1,"250,0","0,2931","853,0",10/2023
CASCAVEL,PARANAGUÁ,2021,Dezembro,PR        ,PR        ,"80,0","0,1329",1,"80,0","0,1329","602,0",12/2021
CASCAVEL,PARANAGUÁ,2021,Julho,PR        ,PR        ,"126,0","0,2093",1,"126,0","0,2093","602,0",07/2021
CASCAVEL,PARANAGUÁ,2021,Novembro,PR        ,PR        ,"75,0","0,1246",1,"75,0","0,1246","602,0",11/2021
CASCAVEL,PARANAGUÁ,2021,Outubro,PR        ,PR        ,"82,0","0,1362",1,"82,0","0,1362","602,0",10/2021
CASCAVEL,PARANAGUÁ,2021,Setembro,PR        ,PR        ,"80,0","0,1329",1,"80,0","0,1329","602,0",09/2021
CASCAVEL,PARANAGUÁ,2022,Dezembro,PR        ,PR        ,"120,0","0,1993",1,"120,0","0,1993","602,0",12/2022
CASCAVEL,PARANAGUÁ,2022,Fevereiro,PR        ,PR        ,"120,0","0,1993",1,"120,0","0,1993","602,0",02/2022
CASCAVEL,PARANAGUÁ,2022,Janeiro,PR        ,PR        ,"55,0","0,0914",1,"55,0","0,0914","602,0",01/2022
CASCAVEL,PARANAGUÁ,2022,Junho,PR        ,PR        ,"130,0","0,2159",1,"130,0","0,2159","602,0",06/2022
CASCAVEL,PARANAGUÁ,2022,Maio,PR        ,PR        ,"99,0","0,1645",1,"99,0","0,1645","602,0",05/2022
CASCAVEL,PARANAGUÁ,2022,Março,PR        ,PR        ,"105,0","0,1744",1,"105,0","0,1744","602,0",03/2022
CASCAVEL,PARANAGUÁ,2022,Novembro,PR        ,PR        ,"100,0","0,1661",1,"100,0","0,1661","602,0",11/2022
CASCAVEL,PARANAGUÁ,2023,Abril,PR        ,PR        ,"130,0","0,2159",1,"130,0","0,2159","602,0",04/2023
CASCAVEL,PARANAGUÁ,2023,Agosto,PR        ,PR        ,"195,0","0,3239",1,"195,0","0,3239","602,0",08/2023
CASCAVEL,PARANAGUÁ,2023,Dezembro,PR        ,PR        ,"178,0","0,2957",1,"178,0","0,2957","602,0",12/2023
CASCAVEL,PARANAGUÁ,2023,Fevereiro,PR        ,PR        ,"177,5","0,2949",1,"177,5","0,2949","602,0",02/2023
CASCAVEL,PARANAGUÁ,2023,Janeiro,PR        ,PR        ,"130,0","0,2159",1,"130,0","0,2159","602,0",01/2023
CASCAVEL,PARANAGUÁ,2023,Julho,PR        ,PR        ,"195,0","0,3239",1,"195,0","0,3239","602,0",07/2023
CASCAVEL,PARANAGUÁ,2023,Junho,PR        ,PR        ,"210,0","0,3488",1,"210,0","0,3488","602,0",06/2023
CASCAVEL,PARANAGUÁ,2023,Maio,PR        ,PR        ,"160,0","0,2658",1,"160,0","0,2658","602,0",05/2023
CASCAVEL,PARANAGUÁ,2023,Março,PR        ,PR        ,"172,5","0,2865",1,"172,5","0,2865","602,0",03/2023
CASCAVEL,PARANAGUÁ,2023,Novembro,PR        ,PR        ,"150,0","0,2492",1,"150,0","0,2492","602,0",11/2023
CASCAVEL,PARANAGUÁ,2023,Outubro,PR        ,PR        ,"160,0","0,2658",1,"160,0","0,2658","602,0",10/2023
CASCAVEL,PARANAGUÁ,2023,Setembro,PR        ,PR        ,"175,0","0,2907",1,"175,0","0,2907","602,0",09/2023
CASCAVEL,PARANAGUÁ,2024,Abril,PR        ,PR        ,"140,0","0,2326",1,"140,0","0,2326","602,0",04/2024
CASCAVEL,PARANAGUÁ,2024,Agosto,PR        ,PR        ,"150,0","0,2492",1,"150,0","0,2492","602,0",08/2024
CASCAVEL,PARANAGUÁ,2024,Fevereiro,PR        ,PR        ,"135,0","0,2243",1,"135,0","0,2243","602,0",02/2024
CASCAVEL,PARANAGUÁ,2024,Janeiro,PR        ,PR        ,"140,0","0,2326",1,"140,0","0,2326","602,0",01/2024
CASCAVEL,PARANAGUÁ,2024,Julho,PR        ,PR        ,"130,0","0,2159",1,"130,0","0,2159","602,0",07/2024
CASCAVEL,PARANAGUÁ,2024,Junho,PR        ,PR        ,"178,0","0,2957",1,"178,0","0,2957","602,0",06/2024
CASCAVEL,PARANAGUÁ,2024,Maio,PR        ,PR        ,"153,0","0,2542",1,"153,0","0,2542","602,0",05/2024
CASCAVEL,PARANAGUÁ,2024,Março,PR        ,PR        ,"110,0","0,1827",1,"110,0","0,1827","602,0",03/2024
CASCAVEL,PARANAGUÁ,2024,Novembro,PR        ,PR        ,"100,0","0,1661",1,"100,0","0,1661","602,0",11/2024
CASCAVEL,PARANAGUÁ,2024,Outubro,PR        ,PR        ,"120,0","0,1993",1,"120,0","0,1993","602,0",10/2024
CASCAVEL,PARANAGUÁ,2024,Setembro,PR        ,PR        ,"120,0","0,1993",1,"120,0","0,1993","602,0",09/2024
CASEARA,PORTO NACIONAL,2022,Dezembro,TO        ,TO        ,"85,0","0,3648",1,"85,0","0,3648","233,0",12/2022
CASEARA,PORTO NACIONAL,2023,Abril,TO        ,TO        ,"95,0","0,4077",1,"95,0","0,4077","233,0",04/2023
CASEARA,PORTO NACIONAL,2023,Agosto,TO        ,TO        ,"110,0","0,4721",1,"110,0","0,4721","233,0",08/2023
CASEARA,PORTO NACIONAL,2023,Dezembro,TO        ,TO        ,"77,0","0,3305",1,"77,0","0,3305","233,0",12/2023
CASEARA,PORTO NACIONAL,2023,Fevereiro,TO        ,TO        ,"80,0","0,3433",1,"80,0","0,3433","233,0",02/2023
CASEARA,PORTO NACIONAL,2023,Janeiro,TO        ,TO        ,"90,0","0,3863",1,"90,0","0,3863","233,0",01/2023
CASEARA,PORTO NACIONAL,2023,Julho,TO        ,TO        ,"100,0","0,4292",1,"100,0","0,4292","233,0",07/2023
CASEARA,PORTO NACIONAL,2023,Março,TO        ,TO        ,"95,0","0,4077",1,"95,0","0,4077","233,0",03/2023
CASEARA,PORTO NACIONAL,2023,Novembro,TO        ,TO        ,"77,0","0,3305",1,"77,0","0,3305","233,0",11/2023
CASEARA,PORTO NACIONAL,2023,Outubro,TO        ,TO        ,"77,0","0,3305",1,"77,0","0,3305","233,0",10/2023
CASEARA,PORTO NACIONAL,2023,Setembro,TO        ,TO        ,"95,0","0,4077",1,"95,0","0,4077","233,0",09/2023
CASEARA,PORTO NACIONAL,2024,Abril,TO        ,TO        ,"67,0","0,2876",1,"67,0","0,2876","233,0",04/2024
CASEARA,PORTO NACIONAL,2024,Agosto,TO        ,TO        ,"68,0","0,2918",1,"68,0","0,2918","233,0",08/2024
CASEARA,PORTO NACIONAL,2024,Dezembro,TO        ,TO        ,"70,0","0,3004",1,"70,0","0,3004","233,0",12/2024
CASEARA,PORTO NACIONAL,2024,Fevereiro,TO        ,TO        ,"77,0","0,3305",1,"77,0","0,3305","233,0",02/2024
CASEARA,PORTO NACIONAL,2024,Janeiro,TO        ,TO        ,"77,0","0,3305",1,"77,0","0,3305","233,0",01/2024
CASEARA,PORTO NACIONAL,2024,Junho,TO        ,TO        ,"68,0","0,2918",1,"68,0","0,2918","233,0",06/2024
CASEARA,PORTO NACIONAL,2024,Maio,TO        ,TO        ,"67,0","0,2876",1,"67,0","0,2876","233,0",05/2024
CASEARA,PORTO NACIONAL,2024,Março,TO        ,TO        ,"75,0","0,3219",1,"75,0","0,3219","233,0",03/2024
CASEARA,PORTO NACIONAL,2024,Outubro,TO        ,TO        ,"70,0","0,3004",1,"70,0","0,3004","233,0",10/2024
CASEARA,PORTO NACIONAL,2024,Setembro,TO        ,TO        ,"70,0","0,3004",1,"70,0","0,3004","233,0",09/2024
CASSILÂNDIA,BOM JESUS DA LAPA,2014,Janeiro,MS        ,BA        ,"177,18","0,1226",1,"177,18","0,1226","1445,0",01/2014
CASSILÂNDIA,JEQUIÉ,2014,Janeiro,MS        ,BA        ,"223,25","0,1253",1,"223,25","0,1253","1782,0",01/2014
CASSILÂNDIA,SANTA MARIA DA VITÓRIA,2015,Maio,MS        ,BA        ,"174,07","0,1283",1,"174,07","0,1283","1357,0",05/2015
CASTELÂNDIA,BRASÍLIA,2024,Fevereiro,GO        ,DF        ,"144,78","0,3383",1,"144,78","0,3383","428,0",02/2024
CASTELÂNDIA,GOIÂNIA,2024,Fevereiro,GO        ,GO        ,"91,82","0,4155",1,"91,82","0,4155","221,0",02/2024
CASTELÂNDIA,GOIÂNIA,2024,Outubro,GO        ,GO        ,"91,32","0,4132",1,"91,32","0,4132","221,0",10/2024
CASTELÂNDIA,IRECÊ,2024,Fevereiro,GO        ,BA        ,"338,33","0,2174",1,"338,33","0,2174","1556,0",02/2024
CASTELÂNDIA,IRECÊ,2024,Janeiro,GO        ,BA        ,"406,89","0,2615",1,"406,89","0,2615","1556,0",01/2024
CASTELÂNDIA,ITABERABA,2024,Janeiro,GO        ,BA        ,"410,93","0,2563",1,"410,93","0,2563","1603,0",01/2024
CASTELÂNDIA,OEIRAS,2024,Fevereiro,GO        ,PI        ,"363,76","0,1846",1,"363,76","0,1846","1970,0",02/2024
CASTELÂNDIA,PICOS,2024,Fevereiro,GO        ,PI        ,"363,76","0,18",1,"363,76","0,18","2021,0",02/2024
CASTELÂNDIA,PONTALINA,2014,Novembro,GO        ,GO        ,"35,19","0,21",1,"35,19","0,21","171,0",11/2014
CASTELÂNDIA,RIBEIRA DO POMBAL,2024,Janeiro,GO        ,BA        ,"454,51","0,2337",1,"454,51","0,2337","1945,0",01/2024
CASTELÂNDIA,SÃO RAIMUNDO NONATO,2024,Agosto,GO        ,PI        ,"374,2","0,2269",1,"374,2","0,2269","1649,0",08/2024
CASTELÂNDIA,TERESINA,2024,Fevereiro,GO        ,PI        ,"380,68","0,1808",1,"380,68","0,1808","2106,0",02/2024
CATALÃO,ARAGUARI,2021,Agosto,GO        ,MG        ,"51,33","0,6581",1,"51,33","0,6581","78,0",08/2021
CATALÃO,ARAGUARI,2021,Dezembro,GO        ,MG        ,"61,0","0,7821",1,"61,0","0,7821","78,0",12/2021
CATALÃO,ARAGUARI,2021,Julho,GO        ,MG        ,"56,6","0,7256",1,"56,6","0,7256","78,0",07/2021
CATALÃO,ARAGUARI,2021,Junho,GO        ,MG        ,"50,6","0,6487",1,"50,6","0,6487","78,0",06/2021
CATALÃO,ARAGUARI,2021,Maio,GO        ,MG        ,"78,4","1,0051",1,"78,4","1,0051","78,0",05/2021
CATALÃO,ARAGUARI,2021,Novembro,GO        ,MG        ,"55,75","0,7147",1,"55,75","0,7147","78,0",11/2021
CATALÃO,ARAGUARI,2021,Outubro,GO        ,MG        ,"52,5","0,6731",1,"52,5","0,6731","78,0",10/2021
CATALÃO,ARAGUARI,2021,Setembro,GO        ,MG        ,"58,8","0,7538",1,"58,8","0,7538","78,0",09/2021
CATALÃO,ARAGUARI,2022,Abril,GO        ,MG        ,"100,0","1,2821",1,"100,0","1,2821","78,0",04/2022
CATALÃO,ARAGUARI,2022,Agosto,GO        ,MG        ,"81,25","1,0417",1,"81,25","1,0417","78,0",08/2022
CATALÃO,ARAGUARI,2022,Dezembro,GO        ,MG        ,"95,0","1,2179",1,"95,0","1,2179","78,0",12/2022
CATALÃO,ARAGUARI,2022,Fevereiro,GO        ,MG        ,"90,75","1,1635",1,"90,75","1,1635","78,0",02/2022
CATALÃO,ARAGUARI,2022,Janeiro,GO        ,MG        ,"62,5","0,8013",1,"62,5","0,8013","78,0",01/2022
CATALÃO,ARAGUARI,2022,Julho,GO        ,MG        ,"103,0","1,3205",1,"103,0","1,3205","78,0",07/2022
CATALÃO,ARAGUARI,2022,Junho,GO        ,MG        ,"100,67","1,2906",1,"100,67","1,2906","78,0",06/2022
CATALÃO,ARAGUARI,2022,Maio,GO        ,MG        ,"75,83","0,9722",1,"75,83","0,9722","78,0",05/2022
CATALÃO,ARAGUARI,2022,Março,GO        ,MG        ,"104,0","1,3333",1,"104,0","1,3333","78,0",03/2022
CATALÃO,ARAGUARI,2022,Novembro,GO        ,MG        ,"92,5","1,1859",1,"92,5","1,1859","78,0",11/2022
CATALÃO,ARAGUARI,2022,Outubro,GO        ,MG        ,"92,0","1,1795",1,"92,0","1,1795","78,0",10/2022
CATALÃO,ARAGUARI,2022,Setembro,GO        ,MG        ,"97,0","1,2436",1,"97,0","1,2436","78,0",09/2022
CATALÃO,ARAGUARI,2023,Abril,GO        ,MG        ,"61,0","0,7821",1,"61,0","0,7821","78,0",04/2023
CATALÃO,ARAGUARI,2023,Agosto,GO        ,MG        ,"83,75","1,0737",1,"83,75","1,0737","78,0",08/2023
CATALÃO,ARAGUARI,2023,Dezembro,GO        ,MG        ,"71,0","0,9103",1,"71,0","0,9103","78,0",12/2023
CATALÃO,ARAGUARI,2023,Fevereiro,GO        ,MG        ,"102,0","1,3077",1,"102,0","1,3077","78,0",02/2023
CATALÃO,ARAGUARI,2023,Janeiro,GO        ,MG        ,"82,5","1,0577",1,"82,5","1,0577","78,0",01/2023
CATALÃO,ARAGUARI,2023,Julho,GO        ,MG        ,"75,0","0,9615",1,"75,0","0,9615","78,0",07/2023
CATALÃO,ARAGUARI,2023,Junho,GO        ,MG        ,"64,25","0,9278",1,"64,25","0,9278","69,0",06/2023
CATALÃO,ARAGUARI,2023,Maio,GO        ,MG        ,"86,2","1,2448",1,"86,2","1,2448","69,0",05/2023
CATALÃO,ARAGUARI,2023,Março,GO        ,MG        ,"86,2","1,1051",1,"86,2","1,1051","78,0",03/2023
CATALÃO,ARAGUARI,2023,Novembro,GO        ,MG        ,"60,0","0,7692",1,"60,0","0,7692","78,0",11/2023
CATALÃO,ARAGUARI,2023,Outubro,GO        ,MG        ,"86,67","1,1112",1,"86,67","1,1112","78,0",10/2023
CATALÃO,ARAGUARI,2023,Setembro,GO        ,MG        ,"88,33","1,1324",1,"88,33","1,1324","78,0",09/2023
CATALÃO,ARAGUARI,2024,Abril,GO        ,MG        ,"48,0","0,609",1,"48,0","0,609","78,0",04/2024
CATALÃO,ARAGUARI,2024,Agosto,GO        ,MG        ,"55,0","0,7019",1,"55,0","0,7019","78,0",08/2024
CATALÃO,ARAGUARI,2024,Dezembro,GO        ,MG        ,"54,0","0,6923",1,"54,0","0,6923","78,0",12/2024
CATALÃO,ARAGUARI,2024,Fevereiro,GO        ,MG        ,"50,0","0,641",1,"50,0","0,641","78,0",02/2024
CATALÃO,ARAGUARI,2024,Janeiro,GO        ,MG        ,"49,0","0,625",1,"49,0","0,625","78,0",01/2024
CATALÃO,ARAGUARI,2024,Julho,GO        ,MG        ,"65,0","0,8333",1,"65,0","0,8333","78,0",07/2024
CATALÃO,ARAGUARI,2024,Junho,GO        ,MG        ,"58,0","0,7372",1,"58,0","0,7372","78,0",06/2024
CATALÃO,ARAGUARI,2024,Maio,GO        ,MG        ,"50,0","0,641",1,"50,0","0,641","78,0",05/2024
CATALÃO,ARAGUARI,2024,Março,GO        ,MG        ,"50,0","0,641",1,"50,0","0,641","78,0",03/2024
CATALÃO,ARAGUARI,2024,Novembro,GO        ,MG        ,"47,0","0,5983",1,"47,0","0,5983","78,0",11/2024
CATALÃO,ARAGUARI,2024,Outubro,GO        ,MG        ,"48,0","0,6197",1,"48,0","0,6197","78,0",10/2024
CATALÃO,ARAGUARI,2024,Setembro,GO        ,MG        ,"62,0","0,7906",1,"62,0","0,7906","78,0",09/2024
CATALÃO,GUARUJÁ,2021,Agosto,GO        ,SP        ,"167,5","0,2128",1,"167,5","0,2128","787,0",08/2021
CATALÃO,GUARUJÁ,2021,Dezembro,GO        ,SP        ,"189,0","0,2402",1,"189,0","0,2402","787,0",12/2021
CATALÃO,GUARUJÁ,2021,Julho,GO        ,SP        ,"192,0","0,244",1,"192,0","0,244","787,0",07/2021
CATALÃO,GUARUJÁ,2021,Junho,GO        ,SP        ,"192,4","0,2445",1,"192,4","0,2445","787,0",06/2021
CATALÃO,GUARUJÁ,2021,Maio,GO        ,SP        ,"221,8","0,2818",1,"221,8","0,2818","787,0",05/2021
CATALÃO,GUARUJÁ,2021,Novembro,GO        ,SP        ,"170,0","0,216",1,"170,0","0,216","787,0",11/2021
CATALÃO,GUARUJÁ,2021,Outubro,GO        ,SP        ,"175,0","0,2224",1,"175,0","0,2224","787,0",10/2021
CATALÃO,GUARUJÁ,2021,Setembro,GO        ,SP        ,"195,0","0,2478",1,"195,0","0,2478","787,0",09/2021
CATALÃO,GUARUJÁ,2022,Abril,GO        ,SP        ,"291,67","0,3706",1,"291,67","0,3706","787,0",04/2022
CATALÃO,GUARUJÁ,2022,Agosto,GO        ,SP        ,"302,5","0,3844",1,"302,5","0,3844","787,0",08/2022
CATALÃO,GUARUJÁ,2022,Dezembro,GO        ,SP        ,"272,0","0,3456",1,"272,0","0,3456","787,0",12/2022
CATALÃO,GUARUJÁ,2022,Fevereiro,GO        ,SP        ,"246,25","0,3129",1,"246,25","0,3129","787,0",02/2022
CATALÃO,GUARUJÁ,2022,Janeiro,GO        ,SP        ,"200,0","0,2541",1,"200,0","0,2541","787,0",01/2022
CATALÃO,GUARUJÁ,2022,Julho,GO        ,SP        ,"307,5","0,3907",1,"307,5","0,3907","787,0",07/2022
CATALÃO,GUARUJÁ,2022,Junho,GO        ,SP        ,"330,83","0,4204",1,"330,83","0,4204","787,0",06/2022
CATALÃO,GUARUJÁ,2022,Maio,GO        ,SP        ,"301,67","0,3833",1,"301,67","0,3833","787,0",05/2022
CATALÃO,GUARUJÁ,2022,Março,GO        ,SP        ,"300,0","0,3812",1,"300,0","0,3812","787,0",03/2022
CATALÃO,GUARUJÁ,2022,Novembro,GO        ,SP        ,"268,0","0,3405",1,"268,0","0,3405","787,0",11/2022
CATALÃO,GUARUJÁ,2022,Outubro,GO        ,SP        ,"268,0","0,3405",1,"268,0","0,3405","787,0",10/2022
CATALÃO,GUARUJÁ,2022,Setembro,GO        ,SP        ,"248,0","0,3151",1,"248,0","0,3151","787,0",09/2022
CATALÃO,GUARUJÁ,2023,Abril,GO        ,SP        ,"280,0","0,3558",1,"280,0","0,3558","787,0",04/2023
CATALÃO,GUARUJÁ,2023,Agosto,GO        ,SP        ,"293,75","0,3733",1,"293,75","0,3733","787,0",08/2023
CATALÃO,GUARUJÁ,2023,Dezembro,GO        ,SP        ,"264,17","0,3357",1,"264,17","0,3357","787,0",12/2023
CATALÃO,GUARUJÁ,2023,Fevereiro,GO        ,SP        ,"287,4","0,3652",1,"287,4","0,3652","787,0",02/2023
CATALÃO,GUARUJÁ,2023,Janeiro,GO        ,SP        ,"258,33","0,3282",1,"258,33","0,3282","787,0",01/2023
CATALÃO,GUARUJÁ,2023,Julho,GO        ,SP        ,"320,0","0,4066",1,"320,0","0,4066","787,0",07/2023
CATALÃO,GUARUJÁ,2023,Junho,GO        ,SP        ,"285,0","0,9344",1,"285,0","0,9344","305,0",06/2023
CATALÃO,GUARUJÁ,2023,Maio,GO        ,SP        ,"295,0","0,9672",1,"295,0","0,9672","305,0",05/2023
CATALÃO,GUARUJÁ,2023,Março,GO        ,SP        ,"295,0","0,3748",1,"295,0","0,3748","787,0",03/2023
CATALÃO,GUARUJÁ,2023,Novembro,GO        ,SP        ,"268,75","0,3415",1,"268,75","0,3415","787,0",11/2023
CATALÃO,GUARUJÁ,2023,Outubro,GO        ,SP        ,"263,33","0,3346",1,"263,33","0,3346","787,0",10/2023
CATALÃO,GUARUJÁ,2023,Setembro,GO        ,SP        ,"303,33","0,3854",1,"303,33","0,3854","787,0",09/2023
CATALÃO,GUARUJÁ,2024,Abril,GO        ,SP        ,"223,0","0,2827",1,"223,0","0,2827","787,0",04/2024
CATALÃO,GUARUJÁ,2024,Agosto,GO        ,SP        ,"250,0","0,3177",1,"250,0","0,3177","787,0",08/2024
CATALÃO,GUARUJÁ,2024,Dezembro,GO        ,SP        ,"177,0","0,2245",1,"177,0","0,2245","787,0",12/2024
CATALÃO,GUARUJÁ,2024,Fevereiro,GO        ,SP        ,"224,0","0,2843",1,"224,0","0,2843","787,0",02/2024
CATALÃO,GUARUJÁ,2024,Janeiro,GO        ,SP        ,"220,0","0,2795",1,"220,0","0,2795","787,0",01/2024
CATALÃO,GUARUJÁ,2024,Julho,GO        ,SP        ,"275,0","0,3494",1,"275,0","0,3494","787,0",07/2024
