municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada
CAARAPÓ-MS                                        ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Setembro,899,"150,0","0,1669",09/2024
CAARAPÓ-MS                                        ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Setembro,395,"85,0","0,2152",09/2024
CAARAPÓ-MS                                        ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Outubro,899,"147,0","0,1635",10/2024
CAARAPÓ-MS                                        ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Outubro,395,"83,0","0,2101",10/2024
CAARAPÓ-MS                                        ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Novembro,899,"140,0","0,1557",11/2024
CAARAPÓ-MS                                        ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Novembro,395,"84,0","0,2127",11/2024
CAARAPÓ-MS                                        ,MS        ,PARANAGUÁ-PR                                      ,PR        ,2024,Dezembro,899,"140,0","0,1557",12/2024
CAARAPÓ-MS                                        ,MS        ,MARINGÁ-PR                                        ,PR        ,2024,Dezembro,395,"73,0","0,1848",12/2024
CACOAL-RO                                         ,RO        ,PORTO VELHO-RO                                    ,RO        ,2023,Maio,480,"129,5","0,2698",05/2023
CAMPO GRANDE-MS                                   ,MS        ,ENTRE RIOS-BA                                     ,BA        ,2015,Setembro,2609,"428,96","0,1644",09/2015
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2021,Julho,554,"117,0","0,2112",07/2021
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2021,Agosto,554,"100,0","0,1805",08/2021
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2021,Setembro,554,"120,0","0,2166",09/2021
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2021,Outubro,554,"90,0","0,1625",10/2021
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2021,Novembro,554,"92,0","0,1661",11/2021
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Janeiro,554,"85,0","0,1534",01/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Fevereiro,554,"147,0","0,2653",02/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Março,554,"100,0","0,1805",03/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Abril,554,"90,0","0,1625",04/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Maio,554,"90,0","0,1625",05/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Junho,554,"140,0","0,2527",06/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Julho,554,"140,0","0,2527",07/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Setembro,554,"105,0","0,1895",09/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Outubro,554,"100,0","0,1805",10/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Novembro,554,"100,0","0,1805",11/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2022,Dezembro,554,"125,0","0,2256",12/2022
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Janeiro,554,"125,0","0,2256",01/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Fevereiro,554,"180,0","0,3249",02/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Março,554,"190,0","0,343",03/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Abril,554,"120,0","0,2166",04/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Maio,554,"140,0","0,2527",05/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Junho,554,"180,0","0,3249",06/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Julho,554,"190,0","0,343",07/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Agosto,554,"205,0","0,37",08/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Setembro,554,"165,0","0,2978",09/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Outubro,554,"145,0","0,2617",10/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Novembro,554,"157,0","0,2834",11/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2023,Dezembro,554,"165,0","0,2978",12/2023
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Janeiro,554,"135,0","0,2437",01/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Fevereiro,554,"150,0","0,2708",02/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Março,554,"140,0","0,2527",03/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Abril,554,"95,0","0,1715",04/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Maio,554,"140,0","0,2527",05/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Junho,554,"154,0","0,278",06/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Julho,554,"130,0","0,2347",07/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Agosto,554,"156,0","0,2816",08/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Setembro,554,"125,0","0,2256",09/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Outubro,554,"125,0","0,2256",10/2024
CAMPO MOURÃO-PR                                   ,PR        ,PARANAGUÁ-PR                                      ,PR        ,2024,Novembro,554,"115,0","0,2076",11/2024
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2015,Outubro,634,"100,0","0,1577",10/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2015,Outubro,2210,"310,0","0,1403",10/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2015,Outubro,1179,"140,0","0,1187",10/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2015,Novembro,1179,"145,0","0,123",11/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2015,Novembro,2210,"315,0","0,1425",11/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2015,Novembro,634,"100,0","0,1577",11/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2015,Dezembro,2210,"320,0","0,1448",12/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2015,Dezembro,1179,"150,0","0,1272",12/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2015,Dezembro,634,"110,0","0,1735",12/2015
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Janeiro,1179,"150,0","0,1272",01/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Janeiro,2210,"330,0","0,1493",01/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Janeiro,634,"120,0","0,1893",01/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Fevereiro,1179,"160,0","0,1357",02/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Fevereiro,634,"120,0","0,1893",02/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Fevereiro,2210,"325,0","0,1471",02/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Março,634,"120,0","0,1893",03/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Março,1179,"155,0","0,1315",03/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Março,2210,"330,0","0,1493",03/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Abril,1179,"155,0","0,1315",04/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Abril,634,"110,0","0,1735",04/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Abril,2210,"310,0","0,1403",04/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Maio,634,"105,0","0,1656",05/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Maio,1179,"150,0","0,1272",05/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Maio,2210,"280,0","0,1267",05/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Junho,2210,"305,0","0,138",06/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Junho,1179,"150,0","0,1272",06/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Junho,634,"105,0","0,1656",06/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Julho,634,"100,0","0,1577",07/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Julho,2210,"280,0","0,1267",07/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Julho,1179,"150,0","0,1272",07/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Agosto,2210,"250,0","0,1131",08/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Agosto,634,"95,0","0,1498",08/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Agosto,1179,"150,0","0,1272",08/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Setembro,634,"90,0","0,142",09/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Setembro,2210,"240,0","0,1086",09/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Setembro,1179,"140,0","0,1187",09/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Outubro,1179,"140,0","0,1187",10/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Outubro,2210,"220,0","0,0995",10/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Outubro,634,"85,0","0,1341",10/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Novembro,634,"80,0","0,1262",11/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Novembro,1179,"135,0","0,1145",11/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Novembro,2210,"210,0","0,095",11/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2016,Dezembro,2210,"220,0","0,0995",12/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2016,Dezembro,634,"85,0","0,1341",12/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2016,Dezembro,1179,"135,0","0,1145",12/2016
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Janeiro,1179,"160,0","0,1357",01/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Janeiro,2210,"260,0","0,1176",01/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Janeiro,634,"110,0","0,1735",01/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Fevereiro,1179,"170,0","0,1442",02/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Fevereiro,2210,"330,0","0,1493",02/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Fevereiro,634,"125,0","0,1972",02/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Março,1179,"180,0","0,1527",03/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Março,2210,"320,0","0,1448",03/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Março,634,"120,0","0,1893",03/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Abril,1179,"165,0","0,1399",04/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Abril,2210,"290,0","0,1312",04/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Abril,634,"100,0","0,1577",04/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Maio,2210,"305,0","0,14",05/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Maio,634,"105,0","0,17",05/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Maio,1179,"160,0","0,14",05/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Junho,1179,"165,0","0,1399",06/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Junho,634,"120,0","0,1893",06/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Junho,2210,"305,0","0,138",06/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Julho,634,"120,0","0,1893",07/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Julho,2210,"305,0","0,138",07/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Julho,1179,"165,0","0,1399",07/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Agosto,1179,"165,0","0,1399",08/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Agosto,2210,"310,0","0,1403",08/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Agosto,634,"115,0","0,1814",08/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Setembro,1179,"160,0","0,1357",09/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Setembro,634,"105,0","0,1656",09/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Setembro,2210,"305,0","0,138",09/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Outubro,1179,"155,0","0,1315",10/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Outubro,2210,"295,0","0,1335",10/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Outubro,634,"115,0","0,1814",10/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Novembro,1179,"150,0","0,1272",11/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Novembro,2210,"295,0","0,1335",11/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Novembro,634,"115,0","0,1814",11/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2017,Dezembro,634,"115,0","0,1814",12/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2017,Dezembro,1179,"150,0","0,1272",12/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2017,Dezembro,2210,"295,0","0,1335",12/2017
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Janeiro,634,"130,0","0,205",01/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Janeiro,1179,"170,0","0,1442",01/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Janeiro,2210,"320,0","0,1448",01/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Fevereiro,2210,"340,0","0,1538",02/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Fevereiro,1179,"170,0","0,1442",02/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Fevereiro,634,"130,0","0,205",02/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Março,1179,"170,0","0,1442",03/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Março,634,"130,0","0,205",03/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Março,2210,"340,0","0,1538",03/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Abril,2210,"320,0","0,1448",04/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Abril,1179,"170,0","0,1442",04/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Abril,634,"120,0","0,1893",04/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Maio,634,"120,0","0,1893",05/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Maio,2210,"320,0","0,1448",05/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Maio,1179,"170,0","0,1442",05/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Junho,2210,"320,0","0,1448",06/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Junho,634,"120,0","0,1893",06/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Junho,1179,"170,0","0,1442",06/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Julho,634,"130,0","0,205",07/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Julho,2210,"340,0","0,1538",07/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Julho,1179,"180,0","0,1527",07/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Agosto,634,"120,0","0,1893",08/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Agosto,1179,"180,0","0,1527",08/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Agosto,2210,"340,0","0,1538",08/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Setembro,634,"120,0","0,1893",09/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Setembro,1179,"170,0","0,1442",09/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Setembro,2210,"345,0","0,1561",09/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Outubro,1179,"150,0","0,1272",10/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Outubro,2210,"310,0","0,1403",10/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Outubro,634,"115,0","0,1814",10/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Novembro,2210,"310,0","0,1403",11/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Novembro,634,"115,0","0,1814",11/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Novembro,1179,"150,0","0,1272",11/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2018,Dezembro,634,"120,0","0,1893",12/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2018,Dezembro,1179,"155,0","0,1315",12/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2018,Dezembro,2210,"320,0","0,1448",12/2018
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Janeiro,1179,"165,0","0,1399",01/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Janeiro,634,"130,0","0,205",01/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Janeiro,2210,"330,0","0,1493",01/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Fevereiro,2210,"320,0","0,1448",02/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Fevereiro,634,"125,0","0,1972",02/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Fevereiro,1179,"160,0","0,1357",02/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Março,634,"110,0","0,1735",03/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Março,2210,"300,0","0,1357",03/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Março,1179,"150,0","0,1272",03/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Abril,2210,"280,0","0,1267",04/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Abril,1179,"150,0","0,1272",04/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Abril,634,"100,0","0,1577",04/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Maio,2210,"280,0","0,1267",05/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Maio,634,"100,0","0,1577",05/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Maio,1179,"150,0","0,1272",05/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Junho,1179,"170,0","0,1442",06/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Junho,634,"120,0","0,1893",06/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Junho,2210,"310,0","0,1403",06/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Julho,1179,"180,0","0,1527",07/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Julho,634,"120,0","0,1893",07/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Julho,2210,"330,0","0,1493",07/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,PORTO VELHO-RO                                    ,RO        ,2019,Agosto,1179,"150,0","0,1272",08/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,RONDONÓPOLIS-MT                                   ,MT        ,2019,Agosto,634,"105,0","0,1656",08/2019
CAMPO NOVO DO PARECIS-MT                          ,MT        ,SANTOS-SP                                         ,SP        ,2019,Agosto,2210,"300,0","0,1357",08/2019
