municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Novembro,810,"240,0","0,2963",11/2023
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Novembro,589,"180,0","0,3056",11/2023
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Janeiro,589,"165,0","0,2801",01/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Janeiro,810,"225,0","0,2778",01/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Fevereiro,810,"217,0","0,2679",02/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Fevereiro,589,"187,0","0,3175",02/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Março,810,"218,0","0,2691",03/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Março,589,"168,0","0,2852",03/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Abril,810,"210,0","0,2589",04/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Abril,589,"175,0","0,2971",04/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Maio,810,"228,0","0,2809",05/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Maio,589,"190,0","0,3226",05/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Junho,810,"235,0","0,2901",06/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Junho,589,"198,0","0,3353",06/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Julho,589,"215,0","0,365",07/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Julho,810,"253,0","0,3117",07/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Agosto,810,"265,0","0,3272",08/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Agosto,589,"230,0","0,3905",08/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Setembro,589,"188,0","0,3183",09/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Setembro,810,"231,0","0,2853",09/2024
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Outubro,810,"227,0","0,2802",10/2024
